Task_ID,Task_Date,Machine_ID,Operator_ID,Task_Type,Task_Area_sqm,Material_Type,Ground_Condition,Ground_Slope_deg,Site_Distance_km,Weather,Temperature_C,Crew_Size,Operator_Skill,Operator_Experience_Months,Machine_Age_yrs,Machine_Condition,Permit_Setup_Delay_min,Breakdown_Occurred,Estimated_Time_min,Actual_Time_min
T3409,2025-03-21 13:59:00,MCH103,OP2010,Trenching,272.7,Concrete,Hard,6.5,32.5,Sunny,20.9,5,Expert,148,8.5,Fair,10.8,No,267.3,393.7
T3410,2025-03-21 14:00:00,MCH107,OP2006,Compaction,147.0,Debris,Hard,8.0,34.7,Windy,18.7,1,Intermediate,23,9.5,Good,0.3,No,69.0,168.1
T3411,2025-03-21 14:08:00,MCH106,OP2016,Earth_Excavation,278.8,Concrete,Hard,8.6,7.5,Sunny,17.0,4,Beginner,10,9.3,Fair,8.1,No,329.3,660.6
T3412,2025-03-21 14:51:00,MCH100,OP2008,Trenching,319.0,Soil,Hard,10.5,28.8,Sunny,25.6,7,Beginner,14,9.4,Good,8.7,No,321.1,559.7
T3413,2025-03-21 15:43:00,MCH108,OP2010,Demolition,35.1,Debris,Hard,8.5,29.7,Cloudy,26.5,8,Expert,148,2.0,Fair,15.0,No,47.5,104.2
T3414,2025-03-21 16:06:00,MCH106,OP2005,Earth_Excavation,385.4,Concrete,Normal,3.8,21.1,Foggy,26.3,8,Beginner,5,9.3,Fair,6.1,No,462.3,1003.3
T3415,2025-03-21 17:00:00,MCH106,OP2000,Material_Loading,110.1,Debris,Hard,2.3,9.6,Windy,16.0,1,Expert,85,9.3,Fair,7.4,No,75.5,106.8
T3416,2025-03-21 17:43:00,MCH100,OP2019,Paving,293.3,Debris,Normal,10.6,12.2,Cloudy,32.3,4,Intermediate,32,9.4,Good,9.5,No,202.0,276.4
T3417,2025-03-21 17:55:00,MCH102,OP2008,Material_Loading,308.8,Rock,Soft,2.0,5.4,Foggy,26.1,4,Beginner,14,10.4,Fair,14.6,No,184.9,360.6
T3418,2025-03-21 18:07:00,MCH109,OP2014,Grading,161.8,Mixed,Hard,8.5,39.9,Windy,27.3,7,Intermediate,37,5.7,Fair,2.6,No,120.3,256.3
T3419,2025-03-21 18:45:00,MCH105,OP2008,Earth_Excavation,192.2,Concrete,Hard,0.4,36.6,Sunny,36.0,7,Beginner,14,11.7,Good,10.0,No,236.4,515.5
T3420,2025-03-21 19:23:00,MCH109,OP2007,Demolition,395.0,Soil,Hard,8.4,31.4,Foggy,25.9,5,Beginner,4,5.7,Fair,1.6,No,585.3,1047.2
T3421,2025-03-21 21:21:00,MCH104,OP2018,Material_Loading,143.8,Debris,Hard,14.8,30.6,Sunny,30.2,7,Beginner,14,1.6,Good,2.9,No,81.3,159.0
T3422,2025-03-21 22:17:00,MCH102,OP2003,Trenching,348.8,Soil,Rocky,3.5,8.5,Sunny,32.8,5,Expert,188,10.4,Fair,16.1,No,352.6,425.8
T3423,2025-03-21 22:56:00,MCH106,OP2015,Paving,379.7,Rock,Hard,4.2,32.6,Foggy,27.9,1,Beginner,10,9.3,Fair,17.2,No,265.4,637.8
T3424,2025-03-21 23:00:00,MCH105,OP2004,Trenching,168.6,Concrete,Soft,1.0,34.2,Foggy,24.3,4,Expert,203,11.7,Good,19.9,No,167.4,287.4
T3425,2025-03-21 23:43:00,MCH106,OP2019,Material_Loading,220.0,Soil,Normal,6.7,16.4,Sunny,30.2,2,Intermediate,32,9.3,Fair,7.7,No,121.4,167.5
T3426,2025-03-22 00:01:00,MCH102,OP2011,Trenching,81.8,Soil,Normal,16.7,35.4,Foggy,20.5,7,Expert,150,10.4,Fair,12.6,No,83.9,157.6
T3427,2025-03-22 00:19:00,MCH108,OP2018,Material_Loading,150.9,Rock,Normal,8.0,7.1,Windy,25.1,2,Beginner,14,2.0,Fair,18.2,No,92.4,204.9
T3428,2025-03-22 00:25:00,MCH104,OP2003,Trenching,186.6,Concrete,Soft,4.3,19.2,Sunny,30.8,8,Expert,188,1.6,Good,17.9,No,195.7,224.6
T3429,2025-03-22 00:57:00,MCH105,OP2004,Compaction,22.7,Mixed,Soft,5.0,25.3,Sunny,22.6,4,Expert,203,11.7,Good,4.0,No,10.0,47.6
T3430,2025-03-22 01:32:00,MCH100,OP2009,Earth_Excavation,357.5,Clay,Normal,17.7,37.2,Foggy,28.0,2,Intermediate,37,9.4,Good,4.5,No,429.3,677.8
T3431,2025-03-22 02:25:00,MCH100,OP2017,Material_Loading,118.4,Debris,Soft,11.0,7.8,Sunny,13.8,3,Intermediate,21,9.4,Good,6.4,Yes,74.4,130.7
T3432,2025-03-22 03:42:00,MCH101,OP2016,Grading,389.5,Clay,Soft,3.5,11.8,Windy,24.5,4,Beginner,10,5.5,Poor,9.3,No,317.2,583.9
T3433,2025-03-22 03:45:00,MCH104,OP2011,Trenching,101.1,Clay,Normal,8.6,37.6,Rainy,13.1,5,Expert,150,1.6,Good,13.0,No,99.2,166.7
T3434,2025-03-22 04:24:00,MCH102,OP2007,Earth_Excavation,244.1,Debris,Soft,6.0,28.9,Rainy,35.1,8,Beginner,4,10.4,Fair,3.4,No,287.5,552.4
T3435,2025-03-22 05:19:00,MCH109,OP2015,Trenching,112.0,Clay,Hard,6.0,29.3,Sunny,34.7,7,Beginner,10,5.7,Fair,18.3,No,99.0,204.8
T3436,2025-03-22 06:31:00,MCH103,OP2007,Demolition,228.6,Mixed,Rocky,3.4,29.4,Rainy,28.7,7,Beginner,4,8.5,Fair,14.7,No,343.5,812.3
T3437,2025-03-22 06:41:00,MCH104,OP2002,Earth_Excavation,212.9,Clay,Soft,4.2,2.7,Sunny,24.6,6,Expert,182,1.6,Good,3.1,No,247.8,219.7
T3438,2025-03-22 07:13:00,MCH101,OP2012,Grading,258.7,Mixed,Hard,10.5,15.9,Sunny,13.6,8,Intermediate,23,5.5,Poor,2.4,No,200.4,307.4
T3439,2025-03-22 09:35:00,MCH105,OP2010,Demolition,48.2,Clay,Normal,8.8,18.5,Windy,28.7,2,Expert,148,11.7,Good,8.4,No,70.8,128.3
T3440,2025-03-22 10:39:00,MCH104,OP2011,Compaction,338.0,Clay,Normal,10.8,25.8,Foggy,15.5,5,Expert,150,1.6,Good,4.0,No,171.2,205.5
T3441,2025-03-22 10:43:00,MCH101,OP2008,Paving,75.2,Debris,Hard,13.7,14.1,Rainy,29.7,1,Beginner,14,5.5,Poor,2.1,Yes,46.9,190.6
T3442,2025-03-22 10:46:00,MCH101,OP2015,Demolition,89.5,Rock,Normal,9.0,34.5,Cloudy,34.9,3,Beginner,10,5.5,Poor,2.9,No,126.9,331.7
T3443,2025-03-22 12:09:00,MCH104,OP2009,Earth_Excavation,134.8,Soil,Soft,3.5,20.7,Rainy,28.3,5,Intermediate,37,1.6,Good,13.1,No,163.9,219.0
T3444,2025-03-22 15:23:00,MCH104,OP2002,Material_Loading,167.5,Clay,Soft,7.0,4.4,Cloudy,19.4,8,Expert,182,1.6,Good,16.8,No,101.6,92.5
T3445,2025-03-22 15:57:00,MCH101,OP2007,Demolition,326.1,Rock,Normal,14.0,17.6,Rainy,26.8,1,Beginner,4,5.5,Poor,18.5,No,478.1,1398.3
T3446,2025-03-22 16:12:00,MCH104,OP2008,Grading,94.2,Clay,Soft,2.3,37.6,Sunny,29.1,1,Beginner,14,1.6,Good,12.8,Yes,75.1,194.3
T3447,2025-03-22 17:09:00,MCH101,OP2011,Earth_Excavation,123.1,Clay,Normal,3.6,28.0,Sunny,23.4,3,Expert,150,5.5,Poor,4.7,No,147.2,217.7
T3448,2025-03-22 18:19:00,MCH101,OP2000,Compaction,208.8,Rock,Hard,1.3,2.9,Sunny,21.6,3,Expert,85,5.5,Poor,3.6,No,98.7,161.7
T3449,2025-03-22 19:22:00,MCH102,OP2014,Grading,188.5,Rock,Hard,8.9,5.5,Cloudy,26.0,3,Intermediate,37,10.4,Fair,8.6,Yes,150.9,352.5
T3450,2025-03-22 19:57:00,MCH104,OP2007,Demolition,343.5,Rock,Normal,3.7,31.5,Windy,22.9,2,Beginner,4,1.6,Good,4.4,No,511.8,966.0
T3451,2025-03-22 20:00:00,MCH105,OP2017,Earth_Excavation,278.3,Clay,Normal,4.9,21.6,Rainy,24.6,7,Intermediate,21,11.7,Good,1.2,No,342.4,472.5
T3452,2025-03-22 20:11:00,MCH101,OP2016,Compaction,150.9,Rock,Normal,9.9,24.9,Cloudy,22.3,1,Beginner,10,5.5,Poor,2.3,No,78.3,225.6
T3453,2025-03-22 20:14:00,MCH104,OP2001,Paving,203.0,Mixed,Normal,2.0,9.3,Rainy,29.3,5,Intermediate,44,1.6,Good,6.3,No,134.4,171.2
T3454,2025-03-22 20:50:00,MCH105,OP2013,Paving,77.0,Rock,Hard,3.0,14.6,Rainy,24.9,4,Intermediate,36,11.7,Good,5.3,No,49.8,113.9
T3455,2025-03-22 20:59:00,MCH107,OP2003,Demolition,48.2,Mixed,Normal,9.2,28.5,Sunny,36.8,7,Expert,188,9.5,Good,6.1,No,69.5,115.6
T3456,2025-03-22 21:12:00,MCH103,OP2017,Material_Loading,399.2,Rock,Hard,3.4,3.1,Windy,39.4,2,Intermediate,21,8.5,Fair,11.7,No,238.4,486.5
T3457,2025-03-22 22:01:00,MCH104,OP2015,Compaction,330.0,Mixed,Hard,5.3,39.9,Rainy,30.1,6,Beginner,10,1.6,Good,6.6,No,167.7,331.5
T3458,2025-03-22 22:25:00,MCH107,OP2001,Trenching,302.6,Clay,Hard,2.9,12.7,Rainy,19.2,7,Intermediate,44,9.5,Good,17.4,No,302.0,469.3
T3459,2025-03-22 22:35:00,MCH107,OP2015,Grading,317.6,Rock,Normal,3.8,34.4,Sunny,13.5,7,Beginner,10,9.5,Good,15.4,No,252.8,517.6
T3460,2025-03-22 23:30:00,MCH101,OP2002,Compaction,59.1,Mixed,Rocky,3.5,25.8,Sunny,25.8,8,Expert,182,5.5,Poor,1.4,No,31.1,86.4
T3461,2025-03-22 23:57:00,MCH100,OP2013,Earth_Excavation,160.8,Soil,Normal,16.6,26.2,Sunny,29.2,1,Intermediate,36,9.4,Good,2.0,No,193.1,244.4
T3462,2025-03-23 01:18:00,MCH104,OP2000,Compaction,49.1,Clay,Soft,3.5,15.7,Rainy,25.6,7,Expert,85,1.6,Good,2.3,No,28.5,51.0
T3463,2025-03-23 01:45:00,MCH106,OP2001,Paving,332.6,Rock,Soft,5.3,31.9,Sunny,16.6,2,Intermediate,44,9.3,Fair,8.9,No,227.7,400.0
T3464,2025-03-23 04:36:00,MCH101,OP2003,Material_Loading,352.2,Debris,Normal,7.8,28.4,Rainy,32.3,8,Expert,188,5.5,Poor,16.5,No,216.8,287.1
T3465,2025-03-23 05:02:00,MCH100,OP2012,Trenching,357.1,Soil,Rocky,0.5,22.9,Sunny,15.7,8,Intermediate,23,9.4,Good,9.1,No,366.9,510.8
T3466,2025-03-23 05:22:00,MCH102,OP2004,Trenching,225.8,Soil,Soft,4.3,24.0,Cloudy,22.7,8,Expert,203,10.4,Fair,16.7,No,228.2,242.7
T3467,2025-03-23 06:08:00,MCH107,OP2006,Paving,255.9,Concrete,Normal,5.3,23.5,Sunny,30.2,4,Intermediate,23,9.5,Good,5.7,No,175.9,285.6
T3468,2025-03-23 07:32:00,MCH101,OP2014,Material_Loading,89.5,Soil,Normal,7.9,19.8,Cloudy,34.4,1,Intermediate,37,5.5,Poor,14.3,Yes,61.9,142.7
T3469,2025-03-23 08:08:00,MCH101,OP2018,Compaction,343.0,Mixed,Normal,5.9,8.1,Rainy,25.6,8,Beginner,14,5.5,Poor,9.9,No,180.2,367.1
T3470,2025-03-23 08:33:00,MCH103,OP2009,Material_Loading,284.2,Debris,Soft,0.6,39.4,Windy,22.7,3,Intermediate,37,8.5,Fair,15.5,No,174.0,272.9
T3471,2025-03-23 08:42:00,MCH102,OP2009,Trenching,251.3,Debris,Rocky,4.3,39.2,Sunny,28.8,7,Intermediate,37,10.4,Fair,17.2,Yes,253.4,491.8
T3472,2025-03-23 08:46:00,MCH100,OP2015,Material_Loading,117.3,Debris,Normal,3.6,22.0,Sunny,20.8,5,Beginner,10,9.4,Good,15.0,No,65.7,128.3
T3473,2025-03-23 09:04:00,MCH102,OP2008,Earth_Excavation,84.4,Rock,Normal,3.9,16.7,Cloudy,23.6,7,Beginner,14,10.4,Fair,1.3,No,98.3,222.0
T3474,2025-03-23 09:43:00,MCH100,OP2011,Grading,159.5,Concrete,Normal,4.0,17.6,Rainy,24.1,5,Expert,150,9.4,Good,8.8,No,132.3,213.0
T3475,2025-03-23 09:47:00,MCH109,OP2013,Paving,21.7,Clay,Normal,3.1,27.8,Sunny,18.1,6,Intermediate,36,5.7,Fair,11.5,No,18.6,75.2
T3476,2025-03-23 10:32:00,MCH104,OP2003,Trenching,320.0,Rock,Normal,5.6,27.7,Cloudy,20.6,6,Expert,188,1.6,Good,14.2,No,322.2,376.2
T3477,2025-03-23 10:33:00,MCH101,OP2014,Material_Loading,370.1,Rock,Normal,8.0,39.9,Sunny,16.6,8,Intermediate,37,5.5,Poor,17.7,No,223.2,348.2
T3478,2025-03-23 10:42:00,MCH102,OP2016,Grading,129.2,Mixed,Normal,5.4,1.7,Rainy,34.4,7,Beginner,10,10.4,Fair,12.7,No,98.8,225.4
T3479,2025-03-23 11:26:00,MCH106,OP2009,Material_Loading,228.7,Rock,Soft,4.1,32.8,Sunny,34.6,1,Intermediate,37,9.3,Fair,7.1,Yes,134.5,289.6
T3480,2025-03-23 11:29:00,MCH106,OP2014,Paving,66.1,Concrete,Normal,10.2,37.3,Sunny,20.8,2,Intermediate,37,9.3,Fair,7.3,No,51.1,132.3
T3481,2025-03-23 11:36:00,MCH100,OP2012,Demolition,150.7,Concrete,Normal,4.8,8.0,Sunny,20.4,3,Intermediate,23,9.4,Good,15.2,No,230.8,311.1
T3482,2025-03-23 11:37:00,MCH109,OP2011,Demolition,379.5,Rock,Rocky,3.0,21.2,Sunny,38.0,1,Expert,150,5.7,Fair,9.0,No,575.3,901.8
T3483,2025-03-23 11:44:00,MCH108,OP2017,Compaction,269.1,Debris,Normal,1.0,34.2,Sunny,20.9,7,Intermediate,21,2.0,Fair,10.2,No,132.3,207.2
T3484,2025-03-23 11:47:00,MCH102,OP2014,Material_Loading,253.8,Clay,Normal,0.5,39.6,Foggy,31.4,1,Intermediate,37,10.4,Fair,10.9,No,158.4,307.5
T3485,2025-03-23 12:29:00,MCH105,OP2003,Trenching,356.1,Clay,Hard,3.2,28.5,Cloudy,11.7,3,Expert,188,11.7,Good,6.4,No,359.4,461.4
T3486,2025-03-23 13:25:00,MCH102,OP2001,Material_Loading,384.8,Mixed,Soft,2.0,19.5,Sunny,25.4,6,Intermediate,44,10.4,Fair,17.6,No,226.8,259.4
T3487,2025-03-23 14:07:00,MCH108,OP2013,Earth_Excavation,128.8,Concrete,Soft,11.6,37.3,Sunny,24.7,3,Intermediate,36,2.0,Fair,9.4,No,151.7,240.6
T3488,2025-03-23 16:04:00,MCH104,OP2013,Earth_Excavation,129.7,Concrete,Normal,4.2,15.1,Windy,23.2,5,Intermediate,36,1.6,Good,13.9,No,158.6,274.0
T3489,2025-03-23 16:18:00,MCH109,OP2007,Earth_Excavation,177.3,Concrete,Soft,8.7,4.3,Rainy,20.3,6,Beginner,4,5.7,Fair,9.7,No,209.0,416.9
T3490,2025-03-23 17:14:00,MCH105,OP2009,Material_Loading,205.6,Soil,Soft,22.5,24.1,Cloudy,11.2,5,Intermediate,37,11.7,Good,11.0,No,117.0,165.7
T3491,2025-03-23 18:47:00,MCH102,OP2015,Trenching,108.6,Mixed,Soft,4.1,33.8,Cloudy,13.8,3,Beginner,10,10.4,Fair,12.9,Yes,111.9,277.7
T3492,2025-03-23 19:12:00,MCH105,OP2001,Material_Loading,42.9,Mixed,Normal,3.1,29.5,Rainy,31.7,5,Intermediate,44,11.7,Good,6.3,No,22.4,79.1
T3493,2025-03-23 20:44:00,MCH100,OP2010,Material_Loading,279.5,Debris,Normal,5.5,34.2,Rainy,29.2,1,Expert,148,9.4,Good,2.9,No,165.9,263.0
T3494,2025-03-23 21:34:00,MCH109,OP2002,Trenching,24.8,Soil,Rocky,16.7,31.6,Rainy,27.4,1,Expert,182,5.7,Fair,18.5,No,23.3,105.2
T3495,2025-03-23 21:37:00,MCH102,OP2006,Trenching,217.5,Debris,Normal,1.1,35.6,Sunny,35.3,2,Intermediate,23,10.4,Fair,13.8,Yes,216.0,379.7
T3496,2025-03-23 22:27:00,MCH106,OP2008,Demolition,112.4,Rock,Normal,2.5,5.4,Cloudy,23.8,4,Beginner,14,9.3,Fair,10.8,No,170.6,345.4
T3497,2025-03-23 23:12:00,MCH102,OP2010,Material_Loading,247.1,Soil,Normal,4.0,14.1,Rainy,25.3,4,Expert,148,10.4,Fair,10.8,No,143.8,177.8
T3498,2025-03-23 23:28:00,MCH109,OP2006,Material_Loading,52.1,Mixed,Soft,4.3,34.0,Sunny,15.4,7,Intermediate,23,5.7,Fair,3.6,Yes,34.7,119.0
T3499,2025-03-24 00:36:00,MCH108,OP2011,Demolition,309.4,Debris,Hard,5.6,5.6,Sunny,26.5,7,Expert,150,2.0,Fair,17.7,No,464.2,490.7
T3500,2025-03-24 04:56:00,MCH103,OP2000,Earth_Excavation,189.3,Rock,Normal,8.9,33.3,Cloudy,20.1,8,Expert,85,8.5,Fair,10.7,No,224.6,356.3
T3501,2025-03-24 06:05:00,MCH100,OP2002,Earth_Excavation,155.0,Concrete,Soft,4.6,29.3,Foggy,20.2,8,Expert,182,9.4,Good,11.6,No,181.4,261.5
T3502,2025-03-24 06:29:00,MCH109,OP2018,Grading,24.0,Clay,Soft,1.5,35.4,Sunny,29.6,6,Beginner,14,5.7,Fair,9.8,No,21.8,92.5
T3503,2025-03-24 07:49:00,MCH103,OP2009,Earth_Excavation,65.7,Concrete,Soft,3.4,15.9,Sunny,23.6,4,Intermediate,37,8.5,Fair,3.3,No,79.4,116.9
T3504,2025-03-24 08:16:00,MCH109,OP2007,Demolition,237.3,Mixed,Soft,3.3,33.0,Sunny,22.1,5,Beginner,4,5.7,Fair,16.6,No,354.3,509.4
T3505,2025-03-24 08:36:00,MCH106,OP2007,Trenching,230.0,Debris,Hard,1.0,39.2,Sunny,23.0,4,Beginner,4,9.3,Fair,19.3,No,231.0,490.7
T3506,2025-03-24 10:52:00,MCH102,OP2007,Material_Loading,351.4,Concrete,Soft,7.1,27.0,Sunny,21.5,5,Beginner,4,10.4,Fair,16.6,No,209.0,367.5
T3507,2025-03-24 11:30:00,MCH109,OP2007,Paving,378.6,Soil,Normal,0.7,14.9,Rainy,22.4,4,Beginner,4,5.7,Fair,1.4,No,272.0,434.1
T3508,2025-03-24 12:08:00,MCH108,OP2003,Grading,376.8,Debris,Soft,0.9,31.4,Sunny,26.7,7,Expert,188,2.0,Fair,14.3,No,299.7,334.6
T3509,2025-03-24 12:50:00,MCH109,OP2017,Compaction,41.6,Mixed,Hard,9.7,14.3,Cloudy,27.1,3,Intermediate,21,5.7,Fair,5.2,No,26.4,55.4
T3510,2025-03-24 13:35:00,MCH100,OP2014,Paving,65.3,Soil,Normal,5.2,30.2,Sunny,21.3,7,Intermediate,37,9.4,Good,5.2,No,47.8,95.8
T3511,2025-03-24 14:35:00,MCH106,OP2013,Compaction,347.4,Clay,Normal,12.5,8.7,Windy,28.9,6,Intermediate,36,9.3,Fair,6.3,No,163.8,253.0
T3512,2025-03-24 14:56:00,MCH103,OP2012,Earth_Excavation,65.9,Concrete,Hard,4.3,4.1,Sunny,13.0,3,Intermediate,23,8.5,Fair,11.9,No,79.5,142.1
T3513,2025-03-24 15:44:00,MCH100,OP2011,Paving,65.4,Clay,Rocky,7.5,21.7,Cloudy,17.5,4,Expert,150,9.4,Good,2.6,No,46.8,94.2
T3514,2025-03-24 15:44:00,MCH107,OP2013,Paving,138.5,Debris,Normal,6.0,30.6,Sunny,26.1,4,Intermediate,36,9.5,Good,10.9,No,106.8,181.8
T3515,2025-03-24 17:06:00,MCH109,OP2000,Earth_Excavation,319.0,Soil,Normal,7.9,26.4,Cloudy,27.8,6,Expert,85,5.7,Fair,7.5,No,370.5,396.3
T3516,2025-03-24 19:53:00,MCH105,OP2005,Grading,27.0,Debris,Soft,1.2,24.3,Cloudy,23.0,6,Beginner,5,11.7,Good,13.1,No,27.4,89.2
T3517,2025-03-24 21:30:00,MCH107,OP2003,Demolition,198.9,Soil,Hard,13.7,32.2,Cloudy,31.4,3,Expert,188,9.5,Good,2.5,No,305.9,396.5
T3518,2025-03-24 21:41:00,MCH102,OP2018,Trenching,319.4,Concrete,Hard,2.9,35.9,Sunny,36.3,4,Beginner,14,10.4,Fair,18.7,Yes,324.3,744.0
T3519,2025-03-24 22:59:00,MCH104,OP2013,Demolition,331.8,Clay,Soft,3.5,30.9,Rainy,28.5,2,Intermediate,36,1.6,Good,16.7,Yes,494.9,666.9
T3520,2025-03-24 23:06:00,MCH107,OP2007,Material_Loading,264.7,Mixed,Soft,10.0,35.3,Sunny,33.6,1,Beginner,4,9.5,Good,14.1,No,155.9,326.0
T3521,2025-03-25 00:48:00,MCH108,OP2011,Demolition,66.3,Concrete,Soft,5.8,6.0,Sunny,21.0,7,Expert,150,2.0,Fair,0.7,No,103.6,117.2
T3522,2025-03-25 00:49:00,MCH100,OP2002,Material_Loading,331.0,Rock,Soft,4.2,16.0,Sunny,19.7,8,Expert,182,9.4,Good,2.5,No,194.5,194.5
T3523,2025-03-25 01:25:00,MCH106,OP2015,Grading,137.1,Clay,Soft,15.2,27.2,Windy,19.1,7,Beginner,10,9.3,Fair,6.9,No,111.4,249.0
T3524,2025-03-25 01:40:00,MCH102,OP2001,Grading,338.6,Rock,Soft,4.7,22.3,Cloudy,26.9,3,Intermediate,44,10.4,Fair,0.8,No,264.4,422.3
T3525,2025-03-25 01:58:00,MCH106,OP2003,Material_Loading,70.2,Rock,Rocky,1.0,27.5,Sunny,22.6,5,Expert,188,9.3,Fair,6.9,No,47.8,122.6
T3526,2025-03-25 02:03:00,MCH102,OP2016,Earth_Excavation,341.0,Debris,Hard,2.9,25.7,Windy,26.0,6,Beginner,10,10.4,Fair,1.1,No,408.7,828.3
T3527,2025-03-25 02:30:00,MCH108,OP2017,Compaction,57.2,Mixed,Normal,0.9,38.4,Rainy,28.2,6,Intermediate,21,2.0,Fair,5.4,No,33.8,104.8
T3528,2025-03-25 02:45:00,MCH105,OP2000,Compaction,133.1,Concrete,Normal,0.5,2.6,Foggy,20.1,4,Expert,85,11.7,Good,4.0,No,63.4,88.4
T3529,2025-03-25 02:58:00,MCH107,OP2003,Compaction,28.0,Concrete,Hard,2.0,30.5,Sunny,18.8,2,Expert,188,9.5,Good,18.5,No,15.0,83.7
T3530,2025-03-25 04:15:00,MCH109,OP2011,Paving,359.3,Concrete,Normal,2.5,31.4,Sunny,27.9,3,Expert,150,5.7,Fair,3.9,No,255.3,322.7
T3531,2025-03-25 05:59:00,MCH104,OP2008,Compaction,338.7,Clay,Soft,5.9,8.4,Windy,30.3,7,Beginner,14,1.6,Good,7.4,No,173.3,258.6
T3532,2025-03-25 06:49:00,MCH102,OP2015,Trenching,127.3,Mixed,Normal,4.4,11.1,Cloudy,21.7,6,Beginner,10,10.4,Fair,0.0,No,122.8,226.5
T3533,2025-03-25 08:09:00,MCH106,OP2001,Material_Loading,276.0,Mixed,Soft,9.1,36.9,Windy,24.3,5,Intermediate,44,9.3,Fair,12.0,No,171.3,248.2
T3534,2025-03-25 08:14:00,MCH107,OP2003,Compaction,207.6,Debris,Normal,3.7,29.9,Sunny,29.2,6,Expert,188,9.5,Good,16.6,No,106.8,164.6
T3535,2025-03-25 08:41:00,MCH108,OP2008,Paving,38.8,Soil,Soft,8.0,39.2,Sunny,30.3,3,Beginner,14,2.0,Fair,17.2,No,36.0,112.2
T3536,2025-03-25 09:37:00,MCH108,OP2009,Material_Loading,128.0,Mixed,Normal,1.3,36.6,Sunny,29.9,4,Intermediate,37,2.0,Fair,6.1,No,76.2,133.0
T3537,2025-03-25 11:23:00,MCH104,OP2005,Demolition,25.1,Debris,Soft,7.2,32.1,Cloudy,22.4,2,Beginner,5,1.6,Good,9.9,No,36.0,107.6
T3538,2025-03-25 11:56:00,MCH104,OP2002,Demolition,99.8,Soil,Hard,6.9,21.5,Foggy,31.7,8,Expert,182,1.6,Good,8.4,No,143.5,177.4
T3539,2025-03-25 12:12:00,MCH107,OP2012,Compaction,364.1,Mixed,Normal,6.8,4.8,Windy,24.9,4,Intermediate,23,9.5,Good,15.1,No,178.3,253.8
T3540,2025-03-25 13:03:00,MCH108,OP2014,Demolition,284.5,Rock,Normal,12.0,25.6,Windy,38.2,3,Intermediate,37,2.0,Fair,18.9,No,421.9,725.6
T3541,2025-03-25 13:50:00,MCH101,OP2019,Compaction,336.8,Mixed,Rocky,4.9,30.5,Sunny,21.1,6,Intermediate,32,5.5,Poor,9.6,No,158.3,300.1
T3542,2025-03-25 14:01:00,MCH102,OP2018,Trenching,40.8,Rock,Soft,1.7,20.6,Sunny,21.4,7,Beginner,14,10.4,Fair,14.5,Yes,37.3,151.0
T3543,2025-03-25 14:52:00,MCH102,OP2014,Grading,49.5,Debris,Normal,5.9,10.6,Cloudy,13.8,8,Intermediate,37,10.4,Fair,13.4,No,36.0,76.1
T3544,2025-03-25 16:30:00,MCH104,OP2017,Demolition,77.9,Debris,Soft,5.1,33.7,Rainy,21.3,5,Intermediate,21,1.6,Good,13.2,No,117.5,200.0
T3545,2025-03-25 16:49:00,MCH105,OP2016,Paving,205.9,Debris,Soft,0.3,35.3,Sunny,26.3,4,Beginner,10,11.7,Good,11.8,No,140.6,264.6
T3546,2025-03-25 17:35:00,MCH103,OP2009,Earth_Excavation,42.4,Mixed,Rocky,0.8,30.7,Rainy,26.1,5,Intermediate,37,8.5,Fair,0.9,No,46.4,113.2
T3547,2025-03-25 18:53:00,MCH103,OP2004,Compaction,345.8,Mixed,Hard,10.7,36.8,Windy,27.1,5,Expert,203,8.5,Fair,16.0,No,184.2,299.5
T3548,2025-03-25 18:58:00,MCH102,OP2001,Demolition,375.2,Mixed,Soft,3.3,13.2,Cloudy,25.9,2,Intermediate,44,10.4,Fair,16.3,No,562.2,696.2
T3549,2025-03-25 19:08:00,MCH106,OP2002,Compaction,330.6,Soil,Hard,5.6,23.3,Rainy,25.4,6,Expert,182,9.3,Fair,13.2,No,164.0,224.9
T3550,2025-03-25 19:43:00,MCH103,OP2000,Trenching,160.5,Soil,Hard,7.4,1.4,Sunny,23.5,3,Expert,85,8.5,Fair,10.9,No,151.6,164.9
T3551,2025-03-25 21:02:00,MCH104,OP2016,Demolition,338.1,Soil,Normal,8.7,20.3,Windy,29.0,2,Beginner,10,1.6,Good,7.2,No,510.2,720.3
T3552,2025-03-25 21:08:00,MCH104,OP2013,Trenching,231.6,Soil,Normal,7.8,37.9,Sunny,38.1,2,Intermediate,36,1.6,Good,7.0,No,220.0,269.2
T3553,2025-03-25 23:00:00,MCH102,OP2000,Paving,356.0,Soil,Hard,3.1,14.4,Sunny,17.9,8,Expert,85,10.4,Fair,7.1,No,240.6,233.2
T3554,2025-03-25 23:01:00,MCH108,OP2006,Demolition,79.4,Soil,Hard,9.9,7.5,Sunny,32.0,8,Intermediate,23,2.0,Fair,5.3,No,120.8,149.6
T3555,2025-03-25 23:22:00,MCH108,OP2011,Earth_Excavation,393.7,Mixed,Normal,10.0,27.1,Rainy,26.3,3,Expert,150,2.0,Fair,18.8,No,475.9,596.3
T3556,2025-03-25 23:36:00,MCH102,OP2013,Paving,281.5,Debris,Hard,4.0,10.2,Sunny,22.7,1,Intermediate,36,10.4,Fair,12.3,No,198.3,330.4
